Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
ACAT2_HUMAN	1	1	8690.55	
ACTB_HUMAN;ACTG1_HUMAN	6	0	160244	65244.3
ACTR3B_HUMAN;ACTR3C_HUMAN;ACTR3_HUMAN	1	0	44073.1	9489.96
ADH1_YEAST	1	1	20698.6	12371.8
ALB_BOVIN	7	7	49261.7	28399.7
AMY1A_HUMAN;AMY1B_HUMAN;AMY1C_HUMAN	1	0	288879	189136
ANXA2P2_HUMAN;ANXA2_HUMAN	2	0	7151.37	3828.81
ANXA5_HUMAN	1	1	25450	8718
ASPRV1_HUMAN	1	1	13000.3	
ATP5F1A_HUMAN	1	1	17089.3	5865
ATP5F1B_HUMAN	1	0	28439	5996.07
B2M_HUMAN	1	1	4587.82	14820.5
BANF1_HUMAN	1	1	9023.01	
CALR_HUMAN	1	1		3502.56
CAND1_HUMAN	1	1	5440.96	2385.98
CFL1_HUMAN;CFL2_HUMAN	1	0	27643.6	10522.4
CLTCL1_HUMAN;CLTC_HUMAN	1	0	14638.1	6371.11
COMMD6_HUMAN	1	1	198718	72733.4
CRMP1_HUMAN	1	1		6533.28
CSN1S1_BOVIN	2	2	87718	56979.7
CSN1S2_BOVIN	1	1	16335.9	5774.31
CST6_HUMAN	1	1	112106	
CTSC_HUMAN	2	2	3913.3	2548.62
CYC1_HUMAN	1	1		3645.26
DCD_HUMAN	4	4	747781	19374.1
DCX_HUMAN	1	1	42326	22894.9
DDX3X_HUMAN	1	1	8251.31	2894.19
DDX52_HUMAN	1	1		5572.38
DHX9_HUMAN	1	1	4265.31	2070
DMKN_HUMAN	1	1	21593.9	
DPYSL2_HUMAN	1	1	8206.47	
DPYSL3_HUMAN	1	1	30279.3	5378.29
EEF1A1P5_HUMAN;EEF1A1_HUMAN	5	0	58665.5	21780.3
EEF1G_HUMAN	1	1	17768.2	11241.3
EEF2_HUMAN	1	1	19930.9	
EIF5A2_HUMAN;EIF5AL1_HUMAN;EIF5A_HUMAN	1	0	14980.3	
ENO1_BOVIN;ENO1_HUMAN	1	0	8873.58	
FLNA_HUMAN;FLNB_HUMAN;FLNC_HUMAN	1	0	9614.66	5401.33
GAPDH_HUMAN	1	1	65312.1	
GDI2_HUMAN	1	1	13694.4	9336.36
GTF2B_HUMAN	1	1	9856.44	5236.8
H1-1_HUMAN;H1-2_HUMAN;H1-3_HUMAN;H1-4_HUMAN	2	0	17562.4	6572.12
H2AC11_HUMAN;H2AC12_HUMAN;H2AC14_HUMAN;H2AC18_HUMAN;H2AC1_HUMAN;H2AC20_HUMAN;H2AC21_HUMAN;H2AC25_HUMAN;H2AC4_HUMAN;H2AC6_HUMAN;H2AC7_HUMAN;H2AJ_HUMAN;H2AX_HUMAN;H2AZ1_HUMAN;H2AZ2_HUMAN	1	0	245065	49199.7
H2BC18_HUMAN;H2BC9_HUMAN	4	0	134244	40208.1
H2BC21_HUMAN	1	0	52770.7	
H3-3A_HUMAN;H3-4_HUMAN;H3-5_HUMAN;H3-7_HUMAN;H3C15_HUMAN;H3C1_HUMAN	1	0	31935.6	18841.7
H4C1_HUMAN	4	4	100483	27513.1
HBA1_HUMAN	1	1	17502.6	
HNRNPA2B1_HUMAN	1	1	8610.52	13415.6
HNRNPCL1_HUMAN;HNRNPCL2_HUMAN;HNRNPCL3_HUMAN;HNRNPCL4_HUMAN;HNRNPC_HUMAN	1	0	10498.4	
HNRNPK_HUMAN	1	1	17167.5	2173.39
HPRT1_HUMAN	1	1	5404.58	5527.84
HSP90AA1_HUMAN	4	1	24539.8	15162.5
HSP90AB1_HUMAN	2	0	14781.3	5034.62
HSP90B1_HUMAN	1	1	22342.9	9087.22
HSPA1A_HUMAN;HSPA1B_HUMAN;HSPA1L_HUMAN;HSPA2_HUMAN;HSPA5_HUMAN;HSPA8_HUMAN	1	0	10245.4	2511.26
HSPA9_HUMAN	1	1	15595.1	1956.7
HSPD1_HUMAN	2	2	21728.6	5294.47
IDH1_HUMAN	1	1	9518.53	
IDH2_HUMAN	2	2	18945	13585.6
KRT10_HUMAN	3	1	57344.7	28297.1
KRT1_HUMAN	10	4	117989	33700.6
KRT2_HUMAN	4	2	23275.1	2175.32
LAP3_HUMAN	1	1	16630.7	11269.6
LCP1_HUMAN	2	1	45210.3	41608.1
LMON_1501_LISMG	1	1		27238.6
LYPD3_HUMAN	1	1	4853.95	
MAP1B_HUMAN	2	2		7901.16
MDH2_HUMAN	1	1	26512.1	10507.6
NCAM1_HUMAN	2	1	15257.1	6339.14
NCL_HUMAN	1	1	11706.4	5981.87
NDUFB4_HUMAN	1	1		6811.62
OAS3_HUMAN	1	1	8538.98	13181.1
PALLD_HUMAN	1	1		3347.22
PDIA3_HUMAN	1	1	24293.3	8954.33
PGD_HUMAN	2	2	9434.58	5668.67
PICALM_HUMAN;SNAP91_HUMAN	1	0	25244.9	10703.7
PIGR_HUMAN	1	1	18564.7	2289.94
PKM_HUMAN	3	2	44420.5	15545.5
PPIA_HUMAN	1	1	31284.1	15841.6
PRDX3_HUMAN	1	1		4862.89
PRKACA_HUMAN	1	1	6089.76	2305.28
PSMB2_HUMAN	1	1	11205.6	4850.42
RAB10_HUMAN	1	1	20514.9	12914.1
RAP1A_HUMAN;RAP1BL_HUMAN;RAP1B_HUMAN	1	0	33055.4	18899.3
RAP2B_HUMAN	1	1	11543.5	4593.04
RPL14_HUMAN	1	1	10530.1	
RPL22_HUMAN	1	1	3992.41	3566.97
RPL36AL_HUMAN;RPL36A_HUMAN	2	0	63536	17550
RPL38_HUMAN	1	1	61474.7	
RPL39_HUMAN	2	2	104088	
RPLP0P6_HUMAN;RPLP0_HUMAN	1	0	10907.7	4040.02
RPN2_HUMAN	1	1	6647.95	4310.33
RPS10_HUMAN	1	1	28705.4	12889.1
RPS24_HUMAN	1	1	19006.9	5551.83
RPS27A_HUMAN;UBA52_HUMAN;UBB_HUMAN;UBC_HUMAN	1	0	106103	43685.8
RPS28_HUMAN	1	1	11049.1	
RPS29_HUMAN	1	1		15453.4
RPS7_HUMAN	2	2	16663.1	6345.21
RTN1_HUMAN	1	1	8858.95	
RTN4_HUMAN	1	1	3338.12	3248.37
SLC25A11_HUMAN	1	1	14510.4	11154.1
SLC25A31_HUMAN;SLC25A4_HUMAN;SLC25A5_HUMAN;SLC25A6_HUMAN	1	0	46301.9	10300.1
SLC3A2_HUMAN	1	1	16298.8	10744
TALDO1_HUMAN	1	1	9652.77	3502.48
TKT_HUMAN	1	1	6932.91	4314.08
TMSB4X_HUMAN;TMSB4Y_HUMAN	1	0	7003.55	
TOMM5_HUMAN	1	1	118584	4808.44
TPI1_HUMAN	1	1	9527.71	4104.44
TUBA1A_HUMAN;TUBA1B_HUMAN;TUBA1C_HUMAN;TUBA1D_BOVIN;TUBA3C_HUMAN;TUBA3D_HUMAN	2	0	129382	34468.7
TUBA4B_HUMAN	1	1	62138.3	28744.8
TUBB2B_HUMAN	5	1	59287.6	24658.2
VIM_HUMAN	5	3	100722	31392.8
XPO1_HUMAN	1	1	4565.64	
YWHAZ_HUMAN	2	1	46046.1	12796.7
ZG16B_HUMAN	1	1	52186.5	22624.1
prpL_PSEAI	2	2	126207	78260.6
