Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
A0A3Q0NEI0_LISMG	A0A3Q0NEI0_LISMG	LMON_1501_LISMG	Cell division protein FtsI [Peptidoglycan synthetase] / Transpeptidase, Penicillin binding protein transpeptidase domain	1	1		27238.6
A6NIZ1_HUMAN;P61224_HUMAN;P62834_HUMAN	RAP1A_HUMAN;RAP1B_HUMAN;RP1BL_HUMAN	RAP1A_HUMAN;RAP1BL_HUMAN;RAP1B_HUMAN	Ras-related protein Rap-1b-like protein	1	0	33055.4	18899.3
A6NMY6_HUMAN;P07355_HUMAN	ANXA2_HUMAN;AXA2L_HUMAN	ANXA2P2_HUMAN;ANXA2_HUMAN	Putative annexin A2-like protein	2	0	7151.37	3828.81
B2RXH8_HUMAN;B7ZW38_HUMAN;O60812_HUMAN;P07910_HUMAN;P0DMR1_HUMAN	HNRC1_HUMAN;HNRC2_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN;HNRPC_HUMAN	HNRNPCL1_HUMAN;HNRNPCL2_HUMAN;HNRNPCL3_HUMAN;HNRNPCL4_HUMAN;HNRNPC_HUMAN	Heterogeneous nuclear ribonucleoprotein C-like 2	1	0	10498.4	
Cont_P00330_YEAST	ADH1_YEAST	ADH1_YEAST	Alcohol dehydrogenase 1	1	1	20698.6	12371.8
Cont_P00761_PIG	TRYP_PIG		Trypsin	2	2	1.33272e+06	880566
Cont_P02662_BOVIN	CASA1_BOVIN	CSN1S1_BOVIN	Alpha-S1-casein	2	2	87718	56979.7
Cont_P02663_BOVIN	CASA2_BOVIN	CSN1S2_BOVIN	Alpha-S2-casein	1	1	16335.9	5774.31
Cont_P02769_BOVIN	ALBU_BOVIN	ALB_BOVIN	Albumin	7	7	49261.7	28399.7
Cont_Q1WEI2_PSEAI	Q1WEI2_PSEAI	prpL_PSEAI	Protease IV	2	2	126207	78260.6
Cont_Q2HJ86_BOVIN;P0DPH7_HUMAN;P0DPH8_HUMAN;P68363_HUMAN;Q71U36_HUMAN;Q9BQE3_HUMAN	TBA1A_HUMAN;TBA1B_HUMAN;TBA1C_HUMAN;TBA1D_BOVIN;TBA3C_HUMAN;TBA3D_HUMAN	TUBA1A_HUMAN;TUBA1B_HUMAN;TUBA1C_HUMAN;TUBA1D_BOVIN;TUBA3C_HUMAN;TUBA3D_HUMAN	Tubulin alpha-1D chain	2	0	129382	34468.7
Cont_Q9XSJ4_BOVIN;P06733_HUMAN	ENOA_BOVIN;ENOA_HUMAN	ENO1_BOVIN;ENO1_HUMAN	Alpha-enolase	1	0	8873.58	
O00571_HUMAN	DDX3X_HUMAN	DDX3X_HUMAN	ATP-dependent RNA helicase DDX3X	1	1	8251.31	2894.19
O14604_HUMAN;P62328_HUMAN	TYB4Y_HUMAN;TYB4_HUMAN	TMSB4X_HUMAN;TMSB4Y_HUMAN	Thymosin beta-4, Y-chromosomal	1	0	7003.55	
O14980_HUMAN	XPO1_HUMAN	XPO1_HUMAN	Exportin-1	1	1	4565.64	
O43602_HUMAN	DCX_HUMAN	DCX_HUMAN	Neuronal migration protein doublecortin	1	1	42326	22894.9
O60641_HUMAN;Q13492_HUMAN	AP180_HUMAN;PICAL_HUMAN	PICALM_HUMAN;SNAP91_HUMAN	Clathrin coat assembly protein AP180	1	0	25244.9	10703.7
O75369_HUMAN;P21333_HUMAN;Q14315_HUMAN	FLNA_HUMAN;FLNB_HUMAN;FLNC_HUMAN	FLNA_HUMAN;FLNB_HUMAN;FLNC_HUMAN	Filamin-B	1	0	9614.66	5401.33
O75531_HUMAN	BAF_HUMAN	BANF1_HUMAN	Barrier-to-autointegration factor	1	1	9023.01	
O75874_HUMAN	IDHC_HUMAN	IDH1_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic	1	1	9518.53	
O95168_HUMAN	NDUB4_HUMAN	NDUFB4_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	1	1		6811.62
O95274_HUMAN	LYPD3_HUMAN	LYPD3_HUMAN	Ly6/PLAUR domain-containing protein 3	1	1	4853.95	
P00492_HUMAN	HPRT_HUMAN	HPRT1_HUMAN	Hypoxanthine-guanine phosphoribosyltransferase	1	1	5404.58	5527.84
P01833_HUMAN	PIGR_HUMAN	PIGR_HUMAN	Polymeric immunoglobulin receptor	1	1	18564.7	2289.94
P04264_HUMAN	K2C1_HUMAN	KRT1_HUMAN	Keratin, type II cytoskeletal 1	10	4	117989	33700.6
P04406_HUMAN	G3P_HUMAN	GAPDH_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase	1	1	65312.1	
P04844_HUMAN	RPN2_HUMAN	RPN2_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	1	1	6647.95	4310.33
P04908_HUMAN;P0C0S5_HUMAN;P0C0S8_HUMAN;P16104_HUMAN;P20671_HUMAN;Q16777_HUMAN;Q6FI13_HUMAN;Q71UI9_HUMAN;Q7L7L0_HUMAN;Q8IUE6_HUMAN;Q93077_HUMAN;Q96KK5_HUMAN;Q96QV6_HUMAN;Q99878_HUMAN;Q9BTM1_HUMAN	H2A1A_HUMAN;H2A1B_HUMAN;H2A1C_HUMAN;H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2B_HUMAN;H2A2C_HUMAN;H2A3_HUMAN;H2AJ_HUMAN;H2AV_HUMAN;H2AX_HUMAN;H2AZ_HUMAN	H2AC11_HUMAN;H2AC12_HUMAN;H2AC14_HUMAN;H2AC18_HUMAN;H2AC1_HUMAN;H2AC20_HUMAN;H2AC21_HUMAN;H2AC25_HUMAN;H2AC4_HUMAN;H2AC6_HUMAN;H2AC7_HUMAN;H2AJ_HUMAN;H2AX_HUMAN;H2AZ1_HUMAN;H2AZ2_HUMAN	Histone H2A type 1-B/E	1	0	245065	49199.7
P05141_HUMAN;P12235_HUMAN;P12236_HUMAN;Q9H0C2_HUMAN	ADT1_HUMAN;ADT2_HUMAN;ADT3_HUMAN;ADT4_HUMAN	SLC25A31_HUMAN;SLC25A4_HUMAN;SLC25A5_HUMAN;SLC25A6_HUMAN	ADP/ATP translocase 2	1	0	46301.9	10300.1
P05388_HUMAN;Q8NHW5_HUMAN	RLA0L_HUMAN;RLA0_HUMAN	RPLP0P6_HUMAN;RPLP0_HUMAN	Large ribosomal subunit protein uL10	1	0	10907.7	4040.02
P06576_HUMAN	ATPB_HUMAN	ATP5F1B_HUMAN	ATP synthase F(1) complex subunit beta, mitochondrial	1	0	28439	5996.07
P07900_HUMAN	HS90A_HUMAN	HSP90AA1_HUMAN	Heat shock protein HSP 90-alpha	4	1	24539.8	15162.5
P08195_HUMAN	4F2_HUMAN	SLC3A2_HUMAN	Amino acid transporter heavy chain SLC3A2	1	1	16298.8	10744
P08238_HUMAN	HS90B_HUMAN	HSP90AB1_HUMAN	Heat shock protein HSP 90-beta	2	0	14781.3	5034.62
P08574_HUMAN	CY1_HUMAN	CYC1_HUMAN	Cytochrome c1, heme protein, mitochondrial	1	1		3645.26
P08670_HUMAN	VIME_HUMAN	VIM_HUMAN	Vimentin	5	3	100722	31392.8
P08758_HUMAN	ANXA5_HUMAN	ANXA5_HUMAN	Annexin A5	1	1	25450	8718
P0CG47_HUMAN;P0CG48_HUMAN;P62979_HUMAN;P62987_HUMAN	RL40_HUMAN;RS27A_HUMAN;UBB_HUMAN;UBC_HUMAN	RPS27A_HUMAN;UBA52_HUMAN;UBB_HUMAN;UBC_HUMAN	Polyubiquitin-B	1	0	106103	43685.8
P0DMV8_HUMAN;P0DMV9_HUMAN;P11021_HUMAN;P11142_HUMAN;P34931_HUMAN;P54652_HUMAN	BIP_HUMAN;HS71A_HUMAN;HS71B_HUMAN;HS71L_HUMAN;HSP72_HUMAN;HSP7C_HUMAN	HSPA1A_HUMAN;HSPA1B_HUMAN;HSPA1L_HUMAN;HSPA2_HUMAN;HSPA5_HUMAN;HSPA8_HUMAN	Heat shock 70 kDa protein 1A	1	0	10245.4	2511.26
P0DTE7_HUMAN;P0DTE8_HUMAN;P0DUB6_HUMAN	AMY1A_HUMAN;AMY1B_HUMAN;AMY1C_HUMAN	AMY1A_HUMAN;AMY1B_HUMAN;AMY1C_HUMAN	Alpha-amylase 1B	1	0	288879	189136
P10412_HUMAN;P16402_HUMAN;P16403_HUMAN;Q02539_HUMAN	H11_HUMAN;H12_HUMAN;H13_HUMAN;H14_HUMAN	H1-1_HUMAN;H1-2_HUMAN;H1-3_HUMAN;H1-4_HUMAN	Histone H1.4	2	0	17562.4	6572.12
P10809_HUMAN	CH60_HUMAN	HSPD1_HUMAN	60 kDa heat shock protein, mitochondrial	2	2	21728.6	5294.47
P13591_HUMAN	NCAM1_HUMAN	NCAM1_HUMAN	Neural cell adhesion molecule 1	2	1	15257.1	6339.14
P13639_HUMAN	EF2_HUMAN	EEF2_HUMAN	Elongation factor 2	1	1	19930.9	
P13645_HUMAN	K1C10_HUMAN	KRT10_HUMAN	Keratin, type I cytoskeletal 10	3	1	57344.7	28297.1
P13796_HUMAN	PLSL_HUMAN	LCP1_HUMAN	Plastin-2	2	1	45210.3	41608.1
P14618_HUMAN	KPYM_HUMAN	PKM_HUMAN	Pyruvate kinase PKM	3	2	44420.5	15545.5
P14625_HUMAN	ENPL_HUMAN	HSP90B1_HUMAN	Endoplasmin	1	1	22342.9	9087.22
P17612_HUMAN	KAPCA_HUMAN	PRKACA_HUMAN	cAMP-dependent protein kinase catalytic subunit alpha	1	1	6089.76	2305.28
