Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
ACAT2_HUMAN	1	1	8690.55	
ADH1_YEAST	1	1	20698.6	12371.8
ALB_BOVIN	7	7	49261.7	28399.7
ANXA5_HUMAN	1	1	25450	8718
ASPRV1_HUMAN	1	1	13000.3	
ATP5F1A_HUMAN	1	1	17089.3	5865
B2M_HUMAN	1	1	4587.82	14820.5
BANF1_HUMAN	1	1	9023.01	
CALR_HUMAN	1	1		3502.56
CAND1_HUMAN	1	1	5440.96	2385.98
COMMD6_HUMAN	1	1	198718	72733.4
CRMP1_HUMAN	1	1		6533.28
CSN1S1_BOVIN	2	2	87718	56979.7
CSN1S2_BOVIN	1	1	16335.9	5774.31
CST6_HUMAN	1	1	112106	
CTSC_HUMAN	2	2	3913.3	2548.62
CYC1_HUMAN	1	1		3645.26
DCD_HUMAN	4	4	747781	19374.1
DCX_HUMAN	1	1	42326	22894.9
DDX3X_HUMAN	1	1	8251.31	2894.19
DDX52_HUMAN	1	1		5572.38
DHX9_HUMAN	1	1	4265.31	2070
DMKN_HUMAN	1	1	21593.9	
DPYSL2_HUMAN	1	1	8206.47	
DPYSL3_HUMAN	1	1	30279.3	5378.29
EEF1G_HUMAN	1	1	17768.2	11241.3
EEF2_HUMAN	1	1	19930.9	
GAPDH_HUMAN	1	1	65312.1	
GDI2_HUMAN	1	1	13694.4	9336.36
GTF2B_HUMAN	1	1	9856.44	5236.8
H4C1_HUMAN	4	4	100483	27513.1
HBA1_HUMAN	1	1	17502.6	
HNRNPA2B1_HUMAN	1	1	8610.52	13415.6
HNRNPK_HUMAN	1	1	17167.5	2173.39
HPRT1_HUMAN	1	1	5404.58	5527.84
HSP90AA1_HUMAN	1	1	17507.8	12476.9
HSP90B1_HUMAN	1	1	22342.9	9087.22
HSPA9_HUMAN	1	1	15595.1	1956.7
HSPD1_HUMAN	2	2	21728.6	5294.47
IDH1_HUMAN	1	1	9518.53	
IDH2_HUMAN	2	2	18945	13585.6
KRT10_HUMAN	1	1	21989.4	9164.82
KRT1_HUMAN	4	4	99832.3	26967.6
KRT2_HUMAN	2	2	21555	2692.12
LAP3_HUMAN	1	1	16630.7	11269.6
LCP1_HUMAN	1	1	24514.8	37336.3
LMON_1501_LISMG	1	1		27238.6
LYPD3_HUMAN	1	1	4853.95	
MAP1B_HUMAN	2	2		7901.16
MDH2_HUMAN	1	1	26512.1	10507.6
NCAM1_HUMAN	1	1	15257.1	
NCL_HUMAN	1	1	11706.4	5981.87
NDUFB4_HUMAN	1	1		6811.62
OAS3_HUMAN	1	1	8538.98	13181.1
PALLD_HUMAN	1	1		3347.22
PDIA3_HUMAN	1	1	24293.3	8954.33
PGD_HUMAN	2	2	9434.58	5668.67
PIGR_HUMAN	1	1	18564.7	2289.94
PKM_HUMAN	2	2	27829.1	11180.4
PPIA_HUMAN	1	1	31284.1	15841.6
PRDX3_HUMAN	1	1		4862.89
PRKACA_HUMAN	1	1	6089.76	2305.28
PSMB2_HUMAN	1	1	11205.6	4850.42
RAB10_HUMAN	1	1	20514.9	12914.1
RAP2B_HUMAN	1	1	11543.5	4593.04
RPL14_HUMAN	1	1	10530.1	
RPL22_HUMAN	1	1	3992.41	3566.97
RPL38_HUMAN	1	1	61474.7	
RPL39_HUMAN	2	2	104088	
RPN2_HUMAN	1	1	6647.95	4310.33
RPS10_HUMAN	1	1	28705.4	12889.1
RPS24_HUMAN	1	1	19006.9	5551.83
RPS28_HUMAN	1	1	11049.1	
RPS29_HUMAN	1	1		15453.4
RPS7_HUMAN	2	2	16663.1	6345.21
RTN1_HUMAN	1	1	8858.95	
RTN4_HUMAN	1	1	3338.12	3248.37
SLC25A11_HUMAN	1	1	14510.4	11154.1
SLC3A2_HUMAN	1	1	16298.8	10744
TALDO1_HUMAN	1	1	9652.77	3502.48
TKT_HUMAN	1	1	6932.91	4314.08
TOMM5_HUMAN	1	1	118584	4808.44
TPI1_HUMAN	1	1	9527.71	4104.44
TUBA4B_HUMAN	1	1	62138.3	28744.8
TUBB2B_HUMAN	1	1	14644.8	4763.77
VIM_HUMAN	3	3	99642.5	29290.7
XPO1_HUMAN	1	1	4565.64	
YWHAZ_HUMAN	1	1	4940.75	1255.02
ZG16B_HUMAN	1	1	52186.5	22624.1
prpL_PSEAI	2	2	126207	78260.6
