Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
AAAS	1	1		16003.7
AARS1	1	1	585746	876798
AARS2	1	1		82762.2
AASDHPPT	1	1		101898
AATF	4	4	169725	203452
ABCA7	1	1		54532.3
ABCB10	1	1		13336.8
ABCB8	1	1		30810.6
ABCC1	2	2	27706.5	4155.75
ABCC4	1	1		7692.39
ABCD1	1	1	75443.5	112582
ABHD12	1	1	136740	124905
ABHD16A	1	1		12480.9
ABL2	1	1		39346
ACACA	3	2	158442	101281
ACAT2	1	1	12733.5	
ACLY	1	1	49238.3	44504
ACSL4	1	1		25449.8
ACTB;ACTG1	22	0	1.18899e+06	681030
ACTL6A	1	1		18320
ACTL7A	1	1	25310.5	
ACTN4	2	2		75861.9
ACTR10	1	1	92634.6	
ACTR1A	2	1		39595.1
ACTR2	1	1		10058.1
ACTR3B;ACTR3C	3	0	48109.6	28349.2
ACTR6	1	1		51913.6
ADAM10	1	1		825395
ADAM15	1	1	449687	11478.9
ADAM9	1	1	42650.6	8953.15
ADH1	1	1		19418.7
ADPGK	2	2	251329	386478
AFAP1	1	1		18544.1
AFDN	1	1	83304.2	
AFF1	1	1	96199.5	86413.5
AFTPH	1	1		10702.2
AGGF1	1	1		121771
AGK	1	1		27436.8
AGO1;AGO2	1	0		45735
AGPS	4	4	142322	231953
AHCTF1	2	2		60646.3
AHNAK	5	5	251069	322948
AHR	1	1		41325.6
AIFM2	1	1		70162.4
AKAP11	1	1		98904.8
AKAP12	1	1	412893	720608
AKIRIN1	1	1	182851	96346.5
AKR1C1;AKR1C2	1	0		22783
ALAD	1	1		27016.1
ALAS1	1	1		45878.8
ALB	13	13	59451.2	33325.5
ALDH3B1	3	1	63003	146659
ALDH7A1	1	1		149932
ALDOA	2	2	207765	271618
ALG10;ALG10B	1	0		39832
AMD1	1	1	86188.2	75499.1
AMMECR1	1	1	44768.7	196481
AMMECR1L	1	1		88690.1
AMPD2	2	2		6901.87
AMY1A;AMY1B;AMY1C	1	0	402748	182059
ANAPC1	1	1		78529.4
ANAPC4	1	1	12903.6	
ANAPC5	1	1		16692.2
ANKEF1	1	1		27618.4
ANKH	1	1		50844.4
ANKRD13B;ANKRD13D	1	0		18161.4
ANKRD17	3	3	48977.8	94384.4
ANO10	1	1		38382.8
ANO5;ANO6	1	0		7788.66
ANP32B	1	1		42430.8
ANXA1	1	1	20594.7	
ANXA2	11	4	257058	269242
ANXA3	1	1		7211.39
ANXA5	1	1	19575.6	12956.7
AP1M1	2	2		46626.7
AP2M1	1	1	59155.1	36886
AP2S1	2	2	165746	278704
AP3D1	1	1		9749.81
AP3M1	1	1	222727	376235
AP4B1	1	1		30083
AP4E1	1	1		15338.5
APAF1	1	1		18720.8
APH1A	1	1		19072
APOB	2	2		25072.5
APOBEC3B;APOBEC3F	1	0		55480.5
APOO	1	1		48730.9
APPBP2	2	2	132735	156104
AQP3	1	1	96117.5	324568
AQR	1	1	121213	25738.2
ARFGAP3	1	1	72273.7	86260
ARFGEF1	2	1	17580.6	12495
ARFIP2	1	1		74834.8
ARG1	18	17	345355	
ARHGAP1	2	2		12282.4
ARHGAP11A	2	2		20717.1
ARHGAP12	1	1		5921.95
ARHGAP29	1	1	44701.8	38197.9
ARHGAP45	1	1	42408.5	
ARID2	1	1		21415.9
ARID5B	2	2		34799.6
ARMC1	1	1		21758.1
ARMCX5	2	2		10663
ARPC2	1	1	17212.6	8016.97
ARPC4	1	1	1.80103e+06	749490
ARRB2	2	2		102923
ASAH1	1	1	41094.5	
ASAP3	1	1	167167	55910
ASCC1	1	1	28628.7	39914.5
ASCC3	2	2		61454.6
ASH1L	2	2	65856.3	96445
ASH2L	1	1	160635	7786.95
ASPM	5	5	53449.2	117321
ASPRV1	1	1	30819.5	
ASTN1;ASTN2	1	0		63569.4
ATAD1	2	2	1.25524e+06	861463
ATF2;ATF7	1	0		16618.3
ATL2	1	1		88911.9
ATL3	1	1		29806.2
ATM	1	1		8287.67
ATP12A;ATP1A1;ATP1A2;ATP1A3;ATP1A4	1	0	118121	
ATP13A1	3	3		103004
ATP2C1	2	2	293561	505444
ATP5F1A	2	2		8458.49
ATP5F1B	1	0	36039	26059
ATP5F1E	4	3	55693.6	44506.2
ATP5MC3	1	1		13829.4
ATP5ME	1	1		21075.6
ATP5MG	2	2		21595
ATP5MK	3	3		2.6575e+06
ATP5PD	1	1		70978.3
ATP5PF	6	6	47081.8	26387.7
ATP5PO	2	2		36099.4
ATP6AP2	1	1	108540	167777
ATP6V0C	2	2	108970	
ATP6V1A	2	2	42249.1	88622.8
ATP6V1C1	1	1		18236.5
ATP6V1D	2	2		412582
ATP6V1E1	1	1	40211.1	30372.2
ATR	3	3		35042.8
ATRX	1	1		20674.8
ATXN10	1	1	444278	173338
ATXN2	1	1		17356.1
ATXN2L	2	2	28802	20055.3
AUNIP	1	1		31422
AURKA	1	1		47024.2
AXDND1	1	1		37470.8
AXL	1	1		5941.26
B2M	7	7	635555	274700
B3GAT3	1	1	51077.9	29953.2
B4GALT1	2	2		25505.8
B4GAT1	2	2		43847.5
BACC1	1	1		64373.2
BAG2	1	1		15080.3
BAIAP2L1	1	1	85092.6	100311
BANF1	2	2	12901.3	13394.4
BASP1	6	6	88594.3	47595.6
BAX	1	1	26101.9	18237.7
BAZ2A	1	1	599703	809475
BBS1	1	1		29588.5
BBS7	1	1	316505	346471
BCAP31	1	1	62958.8	
BCL9L	1	1	34844.1	39606.1
BCORL1	1	1		48874.3
BICD1	1	1		25214.3
BICD2	1	1		125217
BIRC6	2	2	19059.7	17090.3
BLMH	4	4	53145.8	
BLTP1	2	2		11375.8
BMAL1;BMAL2	1	0		26899.8
BMP1	1	1		32236.2
BMP6	1	1		11814.4
BMS1	2	2	10826.1	11409.6
BNIP3L	1	1	42838.2	42283.1
BOLA2	1	1		47579.1
BRAT1	1	1		343940
BRCA2	2	2	43436.2	31531.7
BRD9	1	1		88723
BRK1	1	1	143583	95484.6
BTBD1	2	2		36886.6
BTD	1	1		54514.2
BTF3;BTF3L4	1	0		14183.4
BTN2A2	1	1		73708.3
BTN2A3P	1	1		15529.2
BUB1B	2	2	301556	243371
BZW1	2	2	57553.6	71959.9
BZW2	2	2		35545.3
C18orf32	1	1	197212	438532
C1D	1	1		98505.2
C1GALT1C1	1	1		41141.5
C1QTNF6	1	1		11528.6
C5orf22	1	1	21210.8	24576.4
C7orf25	1	1	170603	
C8orf33	1	1		11992.8
C8orf76;ZHX1-C8orf76	1	0		12406.4
CAB39	2	2		42210.1
CALML5	7	7	75595.2	33034.2
CALR	3	3		26126.8
CAND1	2	2	31486.6	7471.5
CANX	1	1		9209.81
CAPN2	1	1	81598.1	156841
CAPRIN1	1	1		18404.2
CAPZA1	1	1	77840.2	
CARD14	1	1		12297.9
CASK	1	1	87444.5	186645
CASP14	4	4	39081.2	
CASTOR2	1	1		36811.4
CAT	5	5	54118.3	17071.7
CAV1	1	1		191625
CAVIN1	2	2	337368	594378
CBFB	1	1		35467.6
CC2D2A	2	2	23317.6	31203.6
CCDC125	1	1		31032.1
CCN1	1	1	47266.9	27552.7
CCNA2	1	1		37038.7
CCNB2	1	1	176735	261497
CCND1	1	1		318464
CCND3	1	1		80263.8
CCNL2	1	1	226708	321560
CCPG1	1	1	36131.4	28061.4
CCT2	6	6	1.09633e+06	1.15995e+06
CCT3	4	4	240261	551347
CCT7	2	2		36438.2
CCT8	2	2	4.04746e+06	3.31443e+06
CD109	3	3		40783.2
CD2BP2	1	1		15056
CD55	4	4	527458	697693
CDC123	1	1		6444.68
CDC20	1	1	21369.3	6078.87
CDC23	1	1		7658.35
CDC25A	1	1		10446.6
CDC25B	1	1	305971	542567
CDC34;UBE2R2	1	0	93925.2	250324
CDC42EP3	1	1		33627
CDC73	2	2	40874.8	47089.8
CDCA7L	1	1		29573.1
CDH13	1	1		45462.3
