Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
A0A096LP55;P07919	QCR6L_HUMAN;QCR6_HUMAN	UQCRH;UQCRHL	Cytochrome b-c1 complex subunit 6-like, mitochondrial	2	0	31295.3	20317.2
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1		13342.3
A0A2R8Y4L2;P09651;Q32P51	RA1L2_HUMAN;RA1L3_HUMAN;ROA1_HUMAN	HNRNPA1;HNRNPA1L2;HNRNPA1L3	Heterogeneous nuclear ribonucleoprotein A1-like 3	1	0		17029.2
A0A3Q0NAE6	A0A3Q0NAE6_LISMG	LMON_0032	Transcriptional regulator LacI family	1	1	17443.2	
A0A3Q0NAM8	A0A3Q0NAM8_LISMG	LMON_0134	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	1	1		16625.4
A0A3Q0NAN9	A0A3Q0NAN9_LISMG	LMON_0145	HEAT repeat domain-containing protein	1	1		6949.13
A0A3Q0NAQ5	A0A3Q0NAQ5_LISMG	LMON_0149	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	1	1		94371.3
A0A3Q0NAT9	A0A3Q0NAT9_LISMG	prs	Ribose-phosphate pyrophosphokinase	1	1		7901.05
A0A3Q0NAV2	A0A3Q0NAV2_LISMG	plcB	Phospholipase C	2	2		35478.1
A0A3Q0NAV6	A0A3Q0NAV6_LISMG	hly	Thiol-activated cytolysin	2	2	214945	244706
A0A3Q0NAY2	A0A3Q0NAY2_LISMG	cysK	Cysteine synthase	1	1		18177.7
A0A3Q0NB40	A0A3Q0NB40_LISMG	LMON_0294	Serine protease, DegP/HtrA, do-like	1	1	95165.5	20012.8
A0A3Q0NB95	A0A3Q0NB95_LISMG	LMON_0283	Cyclic nucleotide-binding protein	1	1		32717.5
A0A3Q0NBH6	A0A3Q0NBH6_LISMG	inlB	Internalin B	1	1		31894.4
A0A3Q0NBU3	A0A3Q0NBU3_LISMG	hisI	Phosphoribosyl-AMP cyclohydrolase	1	1		466077
