Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
AAAS	1	1		16283
AAMP	1	1		26304.1
AAR2	1	1		305194
AARS1	1	1	657198	903893
AARS2	1	1		84206.3
AASDHPPT	1	1		103676
AATF	3	3	184204	207002
ABCA10	1	1		134187
ABCA7	1	1		55483.8
ABCB10	2	2		67718.9
ABCC1	2	2	28992.6	4370.86
ABCC4	1	1		7486.21
ABCD1	2	2	80200.4	120836
ABHD12	1	1	133750	127991
ABHD16A	1	1		12698.6
ABTB2	1	1		8551.83
ACACA	2	2	73471.4	38175.8
ACADVL	1	1		25886.1
ACAT2	1	1	12198.5	
ACLY	1	1	52285.5	46695.7
ACSL4	2	2		25893.9
ACTL6A	1	1		18639.7
ACTN4	2	2		77185.7
ACTR10	1	1	90803.4	
ACTR1A	1	1		40110.9
ACTR2	1	1		10233.6
ADAM10	1	1	684944	839798
ADAM15	1	1	443262	12807.4
ADAM9	1	1	41449.6	9410.12
ADAMTS14	1	1		14860
ADAT1	1	1		14472.6
ADH1	1	1		20671.6
ADIRF	1	1		43736.1
ADPGK	2	2		417018
AFAP1	1	1		18867.7
AFF1	1	1	97105.9	88959.2
AFG2B	1	1		55589
AFTPH	1	1		10070.2
AGGF1	1	1		126769
AGK	1	1		29166.7
AGPS	4	4	174350	246001
AHCTF1	2	2	57063.5	61704.6
AHCYL1	1	1		23129.5
AHNAK	5	5	251983	321950
AHR	1	1	54199.6	42046.6
AIFM2	1	1		71386.7
AKAP11	1	1	43363.1	100631
AKAP12	1	1	369258	723644
AKIRIN1	1	1	184472	98758.1
ALAD	1	1		27487.5
ALAS1	1	1		46679.4
ALB	14	14	57682.5	38425.1
ALDH3B1	1	1	62118.6	143288
ALDH7A1	1	1	182268	141020
ALDOA	2	2	203535	274249
ALPL	1	1		74119.7
AMD1	1	1	89452.3	79883.2
AMMECR1	1	1	75093.7	199910
AMMECR1L	1	1		90237.7
AMPD2	2	2		7119.65
ANAPC1	1	1		72686.7
ANAPC4	1	1	12450.9	
ANAPC5	1	1		16983.4
ANKH	1	1		49747.4
ANKRD10	1	1		122585
ANKRD17	3	3	50960.9	95393.9
ANO10	1	1		39052.6
ANP32B	1	1		42642
ANTKMT	1	1		16345.1
ANXA1	1	1	20354.8	
ANXA2	5	5	225527	279793
ANXA3	1	1		7781.51
ANXA5	1	1	23998.4	12268.8
AP1M1	2	2		47440.3
AP2M1	1	1	61250.9	37636.9
AP2S1	2	2	183798	283567
AP3D1	2	2		9793.18
AP3M1	1	1	234091	430736
AP4B1	1	1		30607.9
AP4E1	2	2		15606.1
APAF1	1	1		19047.4
APH1A	1	1		19579.3
APOB	2	2		25510
APOO	1	1		49581.2
APPBP2	2	2	136510	158706
AQP3	1	1		330232
AQR	1	1	124239	27993.6
ARAP1	1	1		52066.6
ARFGAP3	1	1	63638.9	87765.1
ARFGEF1	1	1		12713
ARFGEF3	2	2	45748.8	39942.6
ARFIP2	1	1		76140.6
ARG1	17	17	338528	
ARHGAP1	2	2		12496.7
ARHGAP11A	2	2		21078.6
ARHGAP29	1	1	44792.4	39047.6
ARID5B	2	2		35406.8
ARMCX5	2	2		10849.1
ARPC2	1	1	17709.6	8438.58
ARPC4	1	1	1.92267e+06	841057
ARRB2	2	2		104719
ASAH1	1	1	40282.1	
ASAP3	1	1	131456	44171.9
ASCC1	3	3	30905.8	41431.7
ASCC3	3	3		62526.9
ASH1L	2	2	77829.2	93226.3
ASH2L	1	1	157096	8340.23
ASPM	6	6	63700.4	119368
ASPRV1	1	1	30210.3	
ATAD1	2	2	1.23311e+06	885913
ATL2	1	1		90463.3
ATL3	1	1		30326.3
ATM	1	1		8020.01
ATP13A1	3	3	22766.2	123117
ATP2C1	2	2	291584	516035
ATP5F1E	3	3	50689.1	45539.3
ATP5MC3	1	1		14070.7
ATP5ME	2	2		24381.5
ATP5MG	2	2		21971.8
ATP5MK	3	3		2.66698e+06
ATP5PD	1	1		72216.8
ATP5PF	6	6	54216.2	28774.2
